CH1,CH2,CH3,CH4,CH5,CH6,Frame Counter,Timestamp
4.426,0.000,0.000,0.000,0.000,0.000,52329,14:09:44
4.418,0.000,0.000,0.000,0.000,0.000,52330,14:09:44
4.413,0.000,0.000,0.000,0.000,0.000,52331,14:09:44
4.407,0.000,0.000,0.000,0.000,0.000,52332,14:09:44
4.405,0.000,0.000,0.000,0.000,0.000,52333,14:09:44
4.401,0.000,0.000,0.000,0.000,0.000,52334,14:09:44
4.399,0.000,0.000,0.000,0.000,0.000,52335,14:09:45
4.396,0.000,0.000,0.000,0.000,0.000,52336,14:09:45
4.395,0.000,0.000,0.000,0.000,0.000,52337,14:09:45
4.391,0.000,0.000,0.000,0.000,0.000,52338,14:09:45
4.391,0.000,0.000,0.000,0.000,0.000,52339,14:09:45
4.388,0.000,0.000,0.000,0.000,0.000,52340,14:09:45
4.389,0.000,0.000,0.000,0.000,0.000,52341,14:09:45
4.387,0.000,0.000,0.000,0.000,0.000,52342,14:09:45
4.388,0.000,0.000,0.000,0.000,0.000,52343,14:09:45
4.387,0.000,0.000,0.000,0.000,0.000,52344,14:09:45
4.389,0.000,0.000,0.000,0.000,0.000,52345,14:09:45
4.389,0.000,0.000,0.000,0.000,0.000,52346,14:09:45
4.391,0.000,0.000,0.000,0.000,0.000,52347,14:09:45
4.391,0.000,0.000,0.000,0.000,0.000,52348,14:09:45
4.394,0.000,0.000,0.000,0.000,0.000,52349,14:09:45
4.394,0.000,0.000,0.000,0.000,0.000,52350,14:09:45
4.396,0.000,0.000,0.000,0.000,0.000,52351,14:09:45
4.395,0.000,0.000,0.000,0.000,0.000,52352,14:09:45
4.397,0.000,0.000,0.000,0.000,0.000,52353,14:09:45
4.396,0.000,0.000,0.000,0.000,0.000,52354,14:09:45
4.398,0.000,0.000,0.000,0.000,0.000,52355,14:09:45
4.397,0.000,0.000,0.000,0.000,0.000,52356,14:09:45
4.399,0.000,0.000,0.000,0.000,0.000,52357,14:09:45
4.398,0.000,0.000,0.000,0.000,0.000,52358,14:09:45
4.400,0.000,0.000,0.000,0.000,0.000,52359,14:09:45
4.400,0.000,0.000,0.000,0.000,0.000,52360,14:09:45
4.401,0.000,0.000,0.000,0.000,0.000,52361,14:09:45
4.401,0.000,0.000,0.000,0.000,0.000,52362,14:09:45
4.402,0.000,0.000,0.000,0.000,0.000,52363,14:09:45
4.401,0.000,0.000,0.000,0.000,0.000,52364,14:09:45
4.403,0.000,0.000,0.000,0.000,0.000,52365,14:09:45
4.402,0.000,0.000,0.000,0.000,0.000,52366,14:09:45
4.403,0.000,0.000,0.000,0.000,0.000,52367,14:09:45
4.402,0.000,0.000,0.000,0.000,0.000,52368,14:09:45
4.404,0.000,0.000,0.000,0.000,0.000,52369,14:09:45
4.403,0.000,0.000,0.000,0.000,0.000,52370,14:09:45
4.404,0.000,0.000,0.000,0.000,0.000,52371,14:09:45
4.403,0.000,0.000,0.000,0.000,0.000,52372,14:09:45
4.404,0.000,0.000,0.000,0.000,0.000,52373,14:09:45
4.402,0.000,0.000,0.000,0.000,0.000,52374,14:09:45
4.403,0.000,0.000,0.000,0.000,0.000,52375,14:09:45
4.402,0.000,0.000,0.000,0.000,0.000,52376,14:09:45
4.402,0.000,0.000,0.000,0.000,0.000,52377,14:09:45
4.400,0.000,0.000,0.000,0.000,0.000,52378,14:09:45
4.400,0.000,0.000,0.000,0.000,0.000,52379,14:09:45
4.398,0.000,0.000,0.000,0.000,0.000,52380,14:09:45
4.398,0.000,0.000,0.000,0.000,0.000,52381,14:09:45
4.396,0.000,0.000,0.000,0.000,0.000,52382,14:09:45
4.397,0.000,0.000,0.000,0.000,0.000,52383,14:09:45
4.395,0.000,0.000,0.000,0.000,0.000,52384,14:09:45
4.396,0.000,0.000,0.000,0.000,0.000,52385,14:09:45
4.395,0.000,0.000,0.000,0.000,0.000,52386,14:09:45
4.396,0.000,0.000,0.000,0.000,0.000,52387,14:09:45
4.395,0.000,0.000,0.000,0.000,0.000,52388,14:09:45
4.396,0.000,0.000,0.000,0.000,0.000,52389,14:09:45
4.395,0.000,0.000,0.000,0.000,0.000,52390,14:09:45
4.396,0.000,0.000,0.000,0.000,0.000,52391,14:09:45
4.394,0.000,0.000,0.000,0.000,0.000,52392,14:09:45
4.395,0.000,0.000,0.000,0.000,0.000,52393,14:09:45
4.393,0.000,0.000,0.000,0.000,0.000,52394,14:09:45
4.394,0.000,0.000,0.000,0.000,0.000,52395,14:09:45
4.393,0.000,0.000,0.000,0.000,0.000,52396,14:09:45
4.393,0.000,0.000,0.000,0.000,0.000,52397,14:09:45
4.392,0.000,0.000,0.000,0.000,0.000,52398,14:09:45
4.393,0.000,0.000,0.000,0.000,0.000,52399,14:09:45
4.392,0.000,0.000,0.000,0.000,0.000,52400,14:09:45
4.393,0.000,0.000,0.000,0.000,0.000,52401,14:09:45
4.392,0.000,0.000,0.000,0.000,0.000,52402,14:09:45
4.393,0.000,0.000,0.000,0.000,0.000,52403,14:09:45
4.392,0.000,0.000,0.000,0.000,0.000,52404,14:09:45
4.393,0.000,0.000,0.000,0.000,0.000,52405,14:09:45
4.392,0.000,0.000,0.000,0.000,0.000,52406,14:09:45
4.394,0.000,0.000,0.000,0.000,0.000,52407,14:09:45
4.393,0.000,0.000,0.000,0.000,0.000,52408,14:09:45
4.394,0.000,0.000,0.000,0.000,0.000,52409,14:09:45
4.393,0.000,0.000,0.000,0.000,0.000,52410,14:09:45
4.394,0.000,0.000,0.000,0.000,0.000,52411,14:09:45
4.393,0.000,0.000,0.000,0.000,0.000,52412,14:09:45
4.394,0.000,0.000,0.000,0.000,0.000,52413,14:09:45
4.392,0.000,0.000,0.000,0.000,0.000,52414,14:09:45
4.393,0.000,0.000,0.000,0.000,0.000,52415,14:09:45
4.391,0.000,0.000,0.000,0.000,0.000,52416,14:09:45
4.391,0.000,0.000,0.000,0.000,0.000,52417,14:09:45
4.390,0.000,0.000,0.000,0.000,0.000,52418,14:09:45
4.390,0.000,0.000,0.000,0.000,0.000,52419,14:09:45
4.388,0.000,0.000,0.000,0.000,0.000,52420,14:09:45
4.389,0.000,0.000,0.000,0.000,0.000,52421,14:09:45
4.387,0.000,0.000,0.000,0.000,0.000,52422,14:09:45
4.388,0.000,0.000,0.000,0.000,0.000,52423,14:09:45
4.386,0.000,0.000,0.000,0.000,0.000,52424,14:09:45
4.387,0.000,0.000,0.000,0.000,0.000,52425,14:09:45
4.385,0.000,0.000,0.000,0.000,0.000,52426,14:09:45
4.386,0.000,0.000,0.000,0.000,0.000,52427,14:09:45
4.384,0.000,0.000,0.000,0.000,0.000,52428,14:09:45
4.385,0.000,0.000,0.000,0.000,0.000,52429,14:09:45
4.383,0.000,0.000,0.000,0.000,0.000,52430,14:09:45
4.384,0.000,0.000,0.000,0.000,0.000,52431,14:09:45
4.382,0.000,0.000,0.000,0.000,0.000,52432,14:09:45
4.383,0.000,0.000,0.000,0.000,0.000,52433,14:09:45
4.381,0.000,0.000,0.000,0.000,0.000,52434,14:09:45
4.382,0.000,0.000,0.000,0.000,0.000,52435,14:09:46
4.380,0.000,0.000,0.000,0.000,0.000,52436,14:09:46
4.381,0.000,0.000,0.000,0.000,0.000,52437,14:09:46
4.379,0.000,0.000,0.000,0.000,0.000,52438,14:09:46
4.380,0.000,0.000,0.000,0.000,0.000,52439,14:09:46
4.378,0.000,0.000,0.000,0.000,0.000,52440,14:09:46
4.379,0.000,0.000,0.000,0.000,0.000,52441,14:09:46
4.377,0.000,0.000,0.000,0.000,0.000,52442,14:09:46
4.377,0.000,0.000,0.000,0.000,0.000,52443,14:09:46
4.375,0.000,0.000,0.000,0.000,0.000,52444,14:09:46
4.375,0.000,0.000,0.000,0.000,0.000,52445,14:09:46
4.373,0.000,0.000,0.000,0.000,0.000,52446,14:09:46
4.373,0.000,0.000,0.000,0.000,0.000,52447,14:09:46
4.371,0.000,0.000,0.000,0.000,0.000,52448,14:09:46
4.371,0.000,0.000,0.000,0.000,0.000,52449,14:09:46
4.369,0.000,0.000,0.000,0.000,0.000,52450,14:09:46
4.370,0.000,0.000,0.000,0.000,0.000,52451,14:09:46
4.369,0.000,0.000,0.000,0.000,0.000,52452,14:09:46
4.371,0.000,0.000,0.000,0.000,0.000,52453,14:09:46
4.371,0.000,0.000,0.000,0.000,0.000,52454,14:09:46
4.373,0.000,0.000,0.000,0.000,0.000,52455,14:09:46
4.373,0.000,0.000,0.000,0.000,0.000,52456,14:09:46
4.374,0.000,0.000,0.000,0.000,0.000,52457,14:09:46
4.373,0.000,0.000,0.000,0.000,0.000,52458,14:09:46
4.373,0.000,0.000,0.000,0.000,0.000,52459,14:09:46
4.371,0.000,0.000,0.000,0.000,0.000,52460,14:09:46
4.371,0.000,0.000,0.000,0.000,0.000,52461,14:09:46
4.368,0.000,0.000,0.000,0.000,0.000,52462,14:09:46
4.367,0.000,0.000,0.000,0.000,0.000,52463,14:09:46
4.364,0.000,0.000,0.000,0.000,0.000,52464,14:09:46
4.363,0.000,0.000,0.000,0.000,0.000,52465,14:09:46
4.360,0.000,0.000,0.000,0.000,0.000,52466,14:09:46
4.359,0.000,0.000,0.000,0.000,0.000,52467,14:09:46
4.356,0.000,0.000,0.000,0.000,0.000,52468,14:09:46
4.356,0.000,0.000,0.000,0.000,0.000,52469,14:09:46
4.353,0.000,0.000,0.000,0.000,0.000,52470,14:09:46
4.352,0.000,0.000,0.000,0.000,0.000,52471,14:09:46
4.349,0.000,0.000,0.000,0.000,0.000,52472,14:09:46
4.349,0.000,0.000,0.000,0.000,0.000,52473,14:09:46
4.346,0.000,0.000,0.000,0.000,0.000,52474,14:09:46
4.346,0.000,0.000,0.000,0.000,0.000,52475,14:09:46
4.344,0.000,0.000,0.000,0.000,0.000,52476,14:09:46
4.344,0.000,0.000,0.000,0.000,0.000,52477,14:09:46
4.343,0.000,0.000,0.000,0.000,0.000,52478,14:09:46
4.343,0.000,0.000,0.000,0.000,0.000,52479,14:09:46
4.341,0.000,0.000,0.000,0.000,0.000,52480,14:09:46
4.342,0.000,0.000,0.000,0.000,0.000,52481,14:09:46
4.340,0.000,0.000,0.000,0.000,0.000,52482,14:09:46
4.340,0.000,0.000,0.000,0.000,0.000,52483,14:09:46
